Rutland, VT, USA,60086,43.61062,-72.9726
Columbus, MS, USA,59730,33.49567,-88.42726
Sanford, NC, USA,59662,35.47988,-79.1803
Big Stone Gap, VA, USA,59274,36.85864,-82.78325
Batavia, NY, USA,59162,42.99812,-78.18752
Barre, VT, USA,58998,44.19701,-72.50205
Norwalk, OH, USA,58714,41.24255,-82.61573
Oxford, NC, USA,58500,36.3107,-78.59084
Kinston, NC, USA,58485,35.26266,-77.58163
Crossville, TN, USA,57985,35.94896,-85.0269
Fergus Falls, MN, USA,57635,46.28352,-96.07779
Palestine, TX, USA,57627,31.76212,-95.63079
Dublin, GA, USA,57552,32.54044,-82.90376
Point Pleasant, WV, USA,57413,38.84452,-82.13709
Vicksburg, MS, USA,57063,32.35265,-90.87788
Eagle Pass, TX, USA,57023,28.70914,-100.4995
Sterling, IL, USA,56876,41.78864,-89.69622
Fairmont, WV, USA,56803,39.48508,-80.14258
Carlsbad, NM, USA,56395,32.47188,-104.2837
Calhoun, GA, USA,56047,34.50259,-84.95106
